	　『まるごと』文法・文型リスト： 入門（理解）、初級1（理解）、初級2（理解）、初中級、中級1、中級2							Ver.2024/1/31
143	～のは～だ	ナA-な／イA-い／V-る＋のは～です	説明	私が好きなのは、ステーキです。	初級2(りかい)	2　店で食べる	3　おすすめは何ですか	9　食生活
144	～なら～がいい	N1なら、N2がいいです（よ）	条件	野菜なら、このサラダがいいですよ。	初級2(りかい)	2　店で食べる	3　おすすめは何ですか	9　食生活
145	～ずつ	N（数）ずつ	限定	1つずつ　2本ずつ　3人ずつ	初級2(りかい)	2　店で食べる	3　おすすめは何ですか	9　食生活
146	～てはいけない／だめ	V‐てはいけません／だめです	許可・禁止・義務・不必要	食べてはいけません／だめです。	初級2(りかい)	2　店で食べる	4　どうやって食べますか	9　食生活
147	～ちゃいけない／だめ	V‐ちゃいけません／だめです	許可・禁止・義務・不必要	飲んじゃだめです／いけません。	初級2(りかい)	2　店で食べる	4　どうやって食べますか	9　食生活
148	～てから	V‐てから、 ～	時間的前後	飲み物は乾杯してから、飲みましょう。	初級2(りかい)	2　店で食べる	4　どうやって食べますか	9　食生活
149	～て～	V‐て、～	付帯状態・非付帯状態	豆腐ステーキに塩をかけて食べます。	初級2(りかい)	2　店で食べる	4　どうやって食べますか	9　食生活
150	～ないで	V‐ないで、～	付帯状態・非付帯状態	何もつけないで食べます。	初級2(りかい)	2　店で食べる	4　どうやって食べますか	9　食生活
151	～と	V‐ると、～	条件	豆腐ステーキにマヨネーズをつけて食べると、おいしいです。	初級2(りかい)	2　店で食べる	4　どうやって食べますか	9　食生活
152	～たほうがいい	V‐たほうがいいです	勧誘・申し出・助言	帽子を持って行ったほうがいいと思います。	初級2(りかい)	3　沖縄旅行	5　ぼうしを持って行ったほうがいいです	6　旅行と交通
153	～ないほうがいい	V‐ないほうがいいです	勧誘・申し出・助言	9月は行かないほうがいいですよ。	初級2(りかい)	3　沖縄旅行	5　ぼうしを持って行ったほうがいいです	6　旅行と交通
154	～とき	V‐る／V‐ている／V‐たとき、～	時点・場面	沖縄に行くとき、船で行きました。	初級2(りかい)	3　沖縄旅行	5　ぼうしを持って行ったほうがいいです	6　旅行と交通
155	～（られ）る　＜可能＞	NがV‐（られ）ます	可能・難易	お城の中が見られます。	初級2(りかい)	3　沖縄旅行	6　イルカのショーが見られます	6　旅行と交通
156	～し	S（普通体）し	付加	今日のツアーは踊りも見たし、音楽も聞いたし、楽しめました。	初級2(りかい)	3　沖縄旅行	6　イルカのショーが見られます	6　旅行と交通
157	～（られ）る　＜可能＞	NがV‐（られ）ます	可能・難易	パウロさんは日本語が話せます。	初級2(りかい)	4　日本祭	7　雨が降ったら、どうしますか	5　仕事と職業
158	文＋人　＜連体修飾節＞	NがV‐（られ）る人	説明	日本語が話せる人	初級2(りかい)	4　日本祭	7　雨が降ったら、どうしますか	5　仕事と職業
159	～たら	Sた（普通体＋過去形）ら、～	条件	雨が降ったら、ホールで盆踊りをします。	初級2(りかい)	4　日本祭	7　雨が降ったら、どうしますか	5　仕事と職業
160	もう（～た）	もうV‐ました	経過・結末	準備はもう終わりましたか。	初級2(りかい)	4　日本祭	8　コンサートはもう始まりましたか	5　仕事と職業
161	まだ（～ない）	まだV‐ていません	経過・結末	いいえ、まだ終わっていません。	初級2(りかい)	4　日本祭	8　コンサートはもう始まりましたか	5　仕事と職業
162	まだ（～ます／ています）	まだV‐ます／V‐ています	経過・結末	ペンはまだありますか。まだ準備をしていますか。	初級2(りかい)	4　日本祭	8　コンサートはもう始まりましたか	5　仕事と職業
163	もう（～ません／ました）	もうV‐ません／V‐ました	経過・結末	ペンはもうありません。ペンはもう全部お客さんにあげました。	初級2(りかい)	4　日本祭	8　コンサートはもう始まりましたか	5　仕事と職業
164	～か知っていますか	S〔疑問詞＋V（普通体）か〕、知っていますか／分かりますか	その他（間接疑問）	コンサートが何時に始まるか、知っていますか。	初級2(りかい)	4　日本祭	8　コンサートはもう始まりましたか	5　仕事と職業
165	～ていた	V‐ていました	様子・状態	休みはメキシコに帰っていました。	初級2(りかい)	5　特別な日	9　お正月はどうしていましたか	13　言語と文化 (11　人との関係)
166	～（られ）て	V‐（られ）て 　	原因・理由	親に会えて、よかったです。	初級2(りかい)	5　特別な日	9　お正月はどうしていましたか	13　言語と文化 (11　人との関係)
167	～（られ）なくて	V‐（られ）なくて   　	原因・理由	友だちに会えなくて、残念でした。	初級2(りかい)	5　特別な日	9　お正月はどうしていましたか	13　言語と文化 (11　人との関係)
168	～しか（～ない）	Nしか（V‐ません）	限定	今年は休みが3日しかありませんでした。	初級2(りかい)	5　特別な日	9　お正月はどうしていましたか	13　言語と文化 (11　人との関係)
169	～だけ	Nだけ	限定	私の休みは3日間だけでした。	初級2(りかい)	5　特別な日	9　お正月はどうしていましたか	13　言語と文化 (11　人との関係)
170	～ように	V‐るように、～	目的	若い人が楽しめるように、いろいろなイベントがあります。	初級2(りかい)	5　特別な日	10　いいことがありますように	13　言語と文化
171	～ように	V‐ないように、～	目的	パーティーの時間に遅れないように、早く行きましょう。	初級2(りかい)	5　特別な日	10　いいことがありますように	13　言語と文化
172	～たり	V‐たりして、～	並列・反復	七夕のとき、願い事を書いたりして、楽しみます。	初級2(りかい)	5　特別な日	10　いいことがありますように	13　言語と文化
173	～ように願う	V‐る／V‐ないように願います	目的	七夕のとき、いいことがあるように願います。	初級2(りかい)	5　特別な日	10　いいことがありますように	13　言語と文化
174	～ように祈る	V‐る／V‐ないように祈ります	目的	悪いことが起こらないように、神様に祈りました。	初級2(りかい)	5　特別な日	10　いいことがありますように	13　言語と文化
175	～なくなる	V‐なくなりました	変化・不定	扇風機が動かなくなりました。	初級2(りかい)	6　ネットショッピング	11　掃除機が壊れてしまったんです	8　買い物
176	～てしまう	V‐てしまいました	経過・結末	扇風機が動かなくなってしまいました。	初級2(りかい)	6　ネットショッピング	11　掃除機が壊れてしまったんです	8　買い物
177	～ないで	V‐ないで、～	付帯状態・非付帯状態	ネットショッピングは時間を気にしないで買い物できます。	初級2(りかい)	6　ネットショッピング	11　掃除機が壊れてしまったんです	8　買い物
178	～まで	V‐るまで、～	起点・終点・限界・範囲	電子レンジが届くまで、1週間かかりました。	初級2(りかい)	6　ネットショッピング	11　掃除機が壊れてしまったんです	8　買い物
179	～にくい	V‐にくいです	可能・難易	このアイロンは重すぎて、使いにくいです。	初級2(りかい)	6　ネットショッピング	12　こっちのほうが安いです	8　買い物
180	～やすい	V‐やすいです	可能・難易	このアイロンは使いやすいです。	初級2(りかい)	6　ネットショッピング	12　こっちのほうが安いです	8　買い物
181	どちら／どっちが～	N1とN2（と）、どちら／どっちが～か	程度・比較	ＡモデルとBモデル（と）、どちらが安いですか。	初級2(りかい)	6　ネットショッピング	12　こっちのほうが安いです	8　買い物
182	～のほうが～	（N1より）N2のほうが～　	程度・比較	Bの方が安いです。	初級2(りかい)	6　ネットショッピング	12　こっちのほうが安いです	8　買い物
183	【疑問詞】＋～ても	いつ／なに／どこ／だれ＋V‐ても、～	逆接･譲歩	京都はいつ来ても、楽しめます。	初級2(りかい)	7　歴史と文化の町	13　このお寺は14世紀に建てられました	3　自由時間と娯楽 (13　言語と文化)
184	～と～で	N1 （人）とN 2（数）で	様子・状態	妹と２人で京都に来ました。	初級2(りかい)	7　歴史と文化の町	13　このお寺は14世紀に建てられました	3　自由時間と娯楽 (13　言語と文化)
185	～（ら）れる　＜受身＞	V‐（ら）れます	受身・使役受身	京都は８世紀の終わりに天皇によってつくられました。	初級2(りかい)	7　歴史と文化の町	13　このお寺は14世紀に建てられました	3　自由時間と娯楽 (13　言語と文化)
186	～そうだ	S（普通体）そうです	伝聞・引用	この絵は日本で一番古いマンガだそうです。	初級2(りかい)	7　歴史と文化の町	14　この絵はとても有名だそうです	3　自由時間と娯楽 (13　言語と文化)
187	～ために	V‐るために、～	目的	イベントを知らせるために、カレンダーを作ります。	初級2(りかい)	7　歴史と文化の町	14　この絵はとても有名だそうです	3　自由時間と娯楽 (13　言語と文化)
188	～のために	Nのために、～	目的	おみやげを買いたい人のために、店があります。	初級2(りかい)	7　歴史と文化の町	14　この絵はとても有名だそうです	3　自由時間と娯楽 (13　言語と文化)
189	～てある	V‐てあります	様子・状態	受付にイベントカレンダーが置いてあります。	初級2(りかい)	7　歴史と文化の町	14　この絵はとても有名だそうです	3　自由時間と娯楽 (13　言語と文化)
190	～たまま	V‐たままです	経過・結末	会議室の電気がついたままです。	初級2(りかい)	8　生活とエコ	15　電気がついたままですよ	10　自然と環境
191	～ようにしている	V‐るように しています	意志	私は自分の箸を使うようにしています。	初級2(りかい)	8　生活とエコ	15　電気がついたままですよ	10　自然と環境
192	～ないようにしている	V‐ないように しています	意志	私は割り箸を使わないようにしています。	初級2(りかい)	8　生活とエコ	15　電気がついたままですよ	10　自然と環境
193	～のに	V‐るのにいいです／使います	目的	自分の箸は、ごみを減らすのにいいです。	初級2(りかい)	8　生活とエコ	15　電気がついたままですよ	10　自然と環境
194	～（られ）なくなった	V‐（られ）なくなりました	変化・不定	服が着られなく なりました。	初級2(りかい)	8　生活とエコ	16　フリーマーケットで売ります	10　自然と環境
195	～たら	Sたら、～　　　	条件	服が着られなくなったら、どうしますか。	初級2(りかい)	8　生活とエコ	16　フリーマーケットで売ります	10　自然と環境
196	～にする	N1をN2にします	変化・不定	ゆうこさんはネクタイをバッグにしました。	初級2(りかい)	8　生活とエコ	16　フリーマーケットで売ります	10　自然と環境
197	～になる	N1がN2になります	変化・不定	ペットボトルが服になりました。	初級2(りかい)	8　生活とエコ	16　フリーマーケットで売ります	10　自然と環境
198	～そうだ	S（普通体）そうです	伝聞・引用	この歌手は２回目の結婚をするそうです。	初級2(りかい)	9　人生	17　この人、知っていますか	4　生活と人生
199	～てから	V‐て から、【行為】	時間的前後	この人は画家になってから、フランスに行きました。	初級2(りかい)	9　人生	17　この人、知っていますか	4　生活と人生
200	～てから	V‐て から、【状態】	時間的前後	フランスに行ってから、ずっとお金がありませんでした。	初級2(りかい)	9　人生	17　この人、知っていますか	4　生活と人生
201	～まで	V‐る まで、【状態】	起点・終点・限界・範囲	画家は亡くなるまで、フランスで絵をかきました。	初級2(りかい)	9　人生	17　この人、知っていますか	4　生活と人生
202	～かもしれない	S（普通体）かもしれません　※N／ナA‐かもしれません	推量	この画家は一番有名かもしれません。	初級2(りかい)	9　人生	17　この人、知っていますか	4　生活と人生
203	～（ら）れる　＜受身＞	N1はN2にV‐（ら）れます	受身・使役受身	私は母に叱られました。	初級2(りかい)	9　人生	18　どんな子どもでしたか	4　生活と人生
204	～（ら）れる　＜受身＞	N1はN2にN3をV‐（ら）れます	受身・使役受身	私は先生に絵を褒められました。	初級2(りかい)	9　人生	18　どんな子どもでしたか	4　生活と人生
205	～ようになる	V‐るようになりました	変化・不定	朝早く起きるようになりました。	初級2(りかい)	9　人生	18　どんな子どもでしたか	4　生活と人生
206	～なくなる	V‐なくなりました	変化・不定	夜テレビを見なくなりました。	初級2(りかい)	9　人生	18　どんな子どもでしたか	4　生活と人生
207	～（られ）るようになる	V‐（られ）るように なりました	変化・不定	病気がよくなって、何でも食べられるようになりました。	初級2(りかい)	9　人生	18　どんな子どもでしたか	4　生活と人生
208	～（られ）なくなる	V‐（られ）なくなりました	変化・不定	就職してから、友だちにあまり会えなくなりました。	初級2(りかい)	9　人生	18　どんな子どもでしたか	4　生活と人生
209	～なら	S（普通体）なら、～　※N／ナA‐なら	条件	試合が日曜日なら大丈夫なんですが。	初中級	1　スポーツの試合		3　自由時間と娯楽 (11　人との関係)
210	～って言って（い）ました	S（普通体）って言って（い）ました	伝聞・引用	テレビで、おもしろい試合になるって言って（い）ましたよ。	初中級	1　スポーツの試合		3　自由時間と娯楽 (11　人との関係)
211	実は、～んです	実は、 S（普通体）んです　※N／ナA‐なんです	説明	実は、明日の試合、行けなくなったんです。	初中級	1　スポーツの試合		3　自由時間と娯楽 (11　人との関係)
212	応援の表現	V(命令形）　V‐る＋な	許可・禁止・義務・不必要	がんばれ。負けるな。	初中級	1　スポーツの試合		3　自由時間と娯楽 (11　人との関係)
213	～なければならない	V‐なければなりません／なきゃいけません	許可・禁止・義務・不必要	土曜日に父の知り合いを迎えに行かなければなりません／行かなきゃいけません。	初中級	1　スポーツの試合		3　自由時間と娯楽 (11　人との関係)
214	～さ	イA‐／ナA‐さ、V‐ます	その他（名詞化）	選手のプレーのすばらしさに感動しました。勉強が忙しいから、友だちの誘いを断りました。	初中級	1　スポーツの試合		3　自由時間と娯楽 (11　人との関係)
215	【助詞】のN	と／で／へ／から／まで＋のN	その他（助詞）	来月のマリナーズとの試合、一緒に行きましょう。	初中級	1　スポーツの試合		3　自由時間と娯楽 (11　人との関係)
216	～けど／なくて	Sけど／なくて。	説明	いろいろ探して（い）るんですけど。いいところがあまりなくて。	初中級	2　家をさがす		2　住まいと住環境 (4　生活と人生)
217	～から	S（普通体）から、～	原因・理由	広くていい家があったから、決めました。	初中級	2　家をさがす		2　住まいと住環境 (4　生活と人生)
218	～けど、～から	S1（普通体）けど、S2（普通体）から、～	逆接･譲歩　　原因・理由	会社まで少し遠いけど、いい家があったから、決めました。	初中級	2　家をさがす		2　住まいと住環境 (4　生活と人生)
219	～ても	イA‐くても／なくても～　N／ナA‐でも／じゃなくても～　　	逆接･譲歩	狭くても我慢しています。不便でもここに住みたいです。	初中級	2　家を探す		2　住まいと住環境 (4　生活と人生)
220	～ば／なければ	Sば／なければ、～	条件	もっと広い部屋があれば、引っ越したいです。	初中級	2　家を探す		2　住まいと住環境 (4　生活と人生)
221	～ないですか	S（‐ない）ですか	否定	うどんは、外国の人には、味がうすくないですか。	初中級	3　ほっとする食べ物		9　食生活 (13　言語と文化)
222	～ませんか	Sませんか	否定	定食は量が少なすぎませんか。	初中級	3　ほっとする食べ物		9　食生活 (13　言語と文化)
223	～から	S（普通体）から、～	原因・理由	近所のスーパーに何でもあるから、問題ないです。	初中級	3　ほっとする食べ物		9　食生活 (13　言語と文化)
224	～ので	S（普通体）ので、～　※N／ナA‐なので	原因・理由	私、日本人なので、白いご飯とみそ汁が一番ほっとするんですよ。	初中級	3　ほっとする食べ物		9　食生活 (13　言語と文化)
225	～みたい	N2みたいなN1　　N1はN2みたいです	比況	ラーメンみたいな食べ物。ベジマイトは（見た目が）ジャムみたいです。	初中級	3　ほっとする食べ物		9　食生活 (13　言語と文化)
226	～ないです／ありません	V‐ないです　N／ナA‐じゃありません　イA‐くありません	否定	ラーメンは毎日食べても飽きないです。ベジマイトは甘くありません。	初中級	3　ほっとする食べ物		9　食生活 (13　言語と文化)
227	普通体・丁寧体使い分け	S（普通体）　S（丁寧体）	文体	親切な人が多くて助かりました。家族でよく旅行したね。	初中級	4　訪問		1　自分と家族 (4　生活と人生)
228	～てくれる	N（人）は／がV‐てくれます	授受	アニスさんが家に呼んでくれました。	初中級	4　訪問		1　自分と家族 (4　生活と人生)
229	～てもらう	N（人）にV‐てもらいます	授受	アニスさんに通訳をしてもらいました。	初中級	4　訪問		1　自分と家族 (4　生活と人生)
230	～ように	V‐るようにして（い）ます／なりました　～ように、～	意志　変化　目的	積極的に英語を話すようにしています。早い会話も聞き取れるようになりました。上手になれるように、毎日英語ニュースを見ています。	初中級	5　ことばを学ぶ楽しみ		12　学校と教育 (13　言語と文化)
231	普通体・丁寧体使い分け	S（普通体）　S（丁寧体）　	文体	日本語の学校、続いてますね。。英語の学校、続いてるね。	初中級	5　ことばを学ぶ楽しみ		12　学校と教育 (13　言語と文化)
232	～（よ）うと思っている	V‐（よ）うと思っています	意志	大学を卒業したら、日本に留学しようと思っています。	初中級	5　ことばを学ぶ楽しみ		12　学校と教育 (13　言語と文化)
233	～そうだ	V‐そうです／そうなN	様子・状態	次の試験は、いい成績が取れそうです。私にも読めそうな本	初中級	5　ことばを学ぶ楽しみ		12　学校と教育 (13　言語と文化)
234	～も	【数量】も	軽重の強調	昨日は3時間もチャットをしました。チャットは楽しいので、何時間もやります。	初中級	5　ことばを学ぶ楽しみ		12　学校と教育 (13　言語と文化)
235	～でしょう	S（普通体）でしょう（ね）　※N／ナA‐でしょう	推量	のりかさんは、今、きっと幸せでしょうね。	初中級	6　結婚		4　生活と人生
236	～（よ）うと思うんですが	V‐（よ）うと思うんですが。	意志	何かお祝いをしようと思うんですが。	初中級	6　結婚		4　生活と人生
237	～よ／ね／よね	S＋よ／ね／よね	文体	のりかさん、聞きましたよ。結婚するそうですね。優しい人なんですよね。	初中級	6　結婚		4　生活と人生
238	～てあげる	V‐てあげます	授受	（私は）のりかの願いを聞いてあげます。	初中級	6　結婚		4　生活と人生
239	～なくてもいい／だいじょうぶ	V‐なくてもいいです／だいじょうぶです	許可・禁止・義務・不必要	大きなパーティーはしなくてもいいです。	初中級	6　結婚		4　生活と人生
240	～て（い）て	V‐て（い）て	原因・理由	ちょっと疲れて（い）て（元気がありません）。	初中級	7　なやみ相談		11　人との関係
241	～のことで	Nのことで	話題	仕事のことでちょっと（困っています）。	初中級	7　なやみ相談		11　人との関係
242	～かもしれない	S（普通体）かもしれません ※N／ナA‐かもしれません	推量	私の職場でも、同じかもしれません。	初中級	7　なやみ相談		11　人との関係
243	～のに	S（普通体）のに～ ※N／ナA‐なのに	逆接･譲歩	せっかく会っているのに、友だちはカレシと長電話をします。	初中級	7　なやみ相談		11　人との関係
244	～て欲しい	（【人】に）V‐て／V‐ないで欲しいです	願望	私はS子にマナーを守って欲しいです。長電話をしないで欲しいです。	初中級	7　なやみ相談		11　人との関係
245	～そうだ	S（普通体）そうです	伝聞・引用	もうすぐ飛行機に乗れるそうです。	初中級	8　旅行中のトラブル		6　旅行と交通
246	普通体・丁寧体使い分け	S（普通体）　S（丁寧体）	文体	ありました。 あった！	初中級	8　旅行中のトラブル		6　旅行と交通
247	自動詞・他動詞	（人が）NをV（他動詞）　　NがV（自動詞 ）	説明　　様子・状態	ホテルの人が電気をつけます。電気がつきます。	初中級	8　旅行中のトラブル		6　旅行と交通
248	～ながら	V‐ながら、～	付帯状態・非付帯状態	ホテルの人は歩きながら、ホテルの歴史を説明しました。	初中級	8　旅行中のトラブル		6　旅行と交通
249	～たら、～たいと思って（い）る	V1‐たら、V2‐たいと思って（い）るんです	条件　願望	留学が終わったら、日本の会社で働きたいと思って（い）るんです。	初中級	9　仕事をさがす		5　仕事と職業
250	～ことができる	V‐ることができます	可能・難易	ヨーロッパの情報を集めることができます。	初中級	9　仕事を探す		5　仕事と職業
251	～より～方が～	V1‐るよりV2‐る方がナA‐／イA‐いです	程度・比較	人の前で話すよりレポートを書く方が得意です。	初中級	9　仕事を探す		5　仕事と職業
252	尊敬の動詞	いらっしゃる、なさる、おっしゃる…	敬意	このヨガクラスに、よくいらっしゃっていますね。	中級1	1　はじめての人と	2　あのう、失礼ですが･･･	1　自分と家族
253	お～になる	おV‐ますになる	敬意	さっき携帯で日本語をお話しになっていたので。	中級1	1　はじめての人と	2　あのう、失礼ですが･･･	1　自分と家族
254	～はじめる	V‐ますはじめる	動作の開始と終了	3年前からまた習いはじめました。	中級1	1　はじめての人と	2　あのう、失礼ですが･･･	1　自分と家族
255	名詞で終わる言い方	Nです	文体	海外生活4年目の主婦。	中級1	1　はじめての人と	4　気軽にフォローしてください	1　自分と家族
256	～ばと思っている	V‐ばと思っている	願望	いろいろ情報交換できればと思っています。	中級1	1　はじめての人と	4　気軽にフォローしてください	1　自分と家族
257	～といいな	V（普通体）といいな	願望	ここではいろいろな人と知り合えるといいな。	中級1	1　はじめての人と	4　気軽にフォローしてください	1　自分と家族
258	～みたいだ	N／ナA‐／イA‐い／V（普通体）みたいだ	推量	うーん、ないみたいですね。	中級1	2　おすすめの料理	2　お好み焼き粉は･･･	9　食生活
259	～でしょうか	N／ナA‐／イA‐い／V（普通体）でしょうか	敬意	どれがいいでしょうか。	中級1	2　おすすめの料理	2　お好み焼き粉は･･･	9　食生活
260	～ばいい	疑問詞＋V‐ばいい	勧誘・申し出・助言	これは、どうやって使えばいいんですか？	中級1	2　おすすめの料理	2　お好み焼き粉は･･･	9　食生活
261	連用中止	V‐ます、～	時間的前後	じゃがいもの皮をむき、適当な大きさに切り、やわらかくなるまでゆでる。	中級1	2　おすすめの料理	4　じゃがいもを入れるのがポイント！	9　食生活
262	～たあと	V‐たあと、～	時間的前後	少し冷ましたあと、よくつぶす。	中級1	2　おすすめの料理	4　じゃがいもを入れるのがポイント！	9　食生活
263	～ておく	V‐ておく	意図的行為	キャベツは千切りにしておく。	中級1	2　おすすめの料理	4　じゃがいもを入れるのがポイント！	9　食生活
264	自動詞・他動詞		時間的前後	よく混ざったら、さらに②のキャベツを入れて混ぜる。	中級1	2　おすすめの料理	4　じゃがいもを入れるのがポイント！	9　食生活
265	～てくる	V‐てくる	変化・不定	おもて面も固まってきたら、裏返してさらに焼く。	中級1	2　おすすめの料理	4　じゃがいもを入れるのがポイント！	9　食生活
266	～（さ）せてください	V‐（さ）せてください	依頼・命令	ぜひ参加させてください。	中級1	3　私の好きな音楽	2　いい歌は古くならないんです	3　自由時間と娯楽
267	～さ（せら）れる　＜使役受身＞	V‐さ（せら）れる	受身・使役受身	いつも無理に歌わされるから。	中級1	3　私の好きな音楽	2　いい歌は古くならないんです	3　自由時間と娯楽
268	～（さ）せる　＜使役＞	V‐（さ）せる	使役	歌いたくない人に歌わせるなんて。	中級1	3　私の好きな音楽	2　いい歌は古くならないんです	3　自由時間と娯楽
269	～こと（が）ある	V‐こと（が）ある	変化・不定	ときどきネットで見ることがあります。	中級1	3　私の好きな音楽	2　いい歌は古くならないんです	3　自由時間と娯楽
270	～をはじめ	Nをはじめ	起点・終点・限界・範囲	ライブの前半は「恋しくて」をはじめ、じっくり聞かせる曲が中心でした。	中級1	3　私の好きな音楽	4　BEGINのライブに行ってきました！	3　自由時間と娯楽
271	～と	V‐ると、～	条件	会場に行くと、お客さんの幅が広くてびっくりしました。	中級1	3　私の好きな音楽	4　BEGINのライブに行ってきました！	3　自由時間と娯楽
